step	is_bug	state	point
1.0	0.0	LONG_WALK	[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]
2.0	0.0	LONG_WALK	[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182]
3.0	0.0	LONG_WALK	[0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727]
4.0	0.0	LONG_WALK	[0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365]
5.0	0.0	LONG_WALK	[0.4545454545454546, 0.4545454545454546, 0.4545454545454546, 0.4545454545454546, 0.4545454545454546, 0.4545454545454546, 0.4545454545454546, 0.4545454545454546, 0.4545454545454546, 0.4545454545454546]
6.0	0.0	LONG_WALK	[0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]
7.0	0.0	LONG_WALK	[0.6363636363636364, 0.6363636363636364, 0.6363636363636364, 0.6363636363636364, 0.6363636363636364, 0.6363636363636364, 0.6363636363636364, 0.6363636363636364, 0.6363636363636364, 0.6363636363636364]
8.0	0.0	LONG_WALK	[0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273]
9.0	0.0	LONG_WALK	[0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182]
10.0	0.0	LONG_WALK	[0.9090909090909092, 0.9090909090909092, 0.9090909090909092, 0.9090909090909092, 0.9090909090909092, 0.9090909090909092, 0.9090909090909092, 0.9090909090909092, 0.9090909090909092, 0.9090909090909092]
11.0	0.0	LONG_WALK	[0.008264462809917356, 0.09917355371900827, 0.19008264462809918, 0.28099173553719003, 0.371900826446281, 0.4628099173553719, 0.5537190082644627, 0.6446280991735537, 0.7355371900826446, 0.8264462809917356]
12.0	0.0	LONG_WALK	[0.09917355371900827, 0.19008264462809918, 0.28099173553719003, 0.371900826446281, 0.4628099173553719, 0.5537190082644627, 0.6446280991735537, 0.7355371900826446, 0.8264462809917356, 0.9173553719008265]
13.0	0.0	LONG_WALK	[0.19008264462809918, 0.28099173553719003, 0.371900826446281, 0.4628099173553719, 0.5537190082644627, 0.6446280991735537, 0.7355371900826446, 0.8264462809917356, 0.9173553719008265, 0.008264462809917356]
14.0	0.0	LONG_WALK	[0.28099173553719003, 0.371900826446281, 0.4628099173553719, 0.5537190082644627, 0.6446280991735537, 0.7355371900826446, 0.8264462809917356, 0.9173553719008265, 0.008264462809917356, 0.09917355371900827]
15.0	0.0	LONG_WALK	[0.371900826446281, 0.4628099173553719, 0.5537190082644627, 0.6446280991735537, 0.7355371900826446, 0.8264462809917356, 0.9173553719008265, 0.008264462809917356, 0.09917355371900827, 0.19008264462809918]
16.0	0.0	LONG_WALK	[0.4628099173553719, 0.5537190082644627, 0.6446280991735537, 0.7355371900826446, 0.8264462809917356, 0.9173553719008265, 0.008264462809917356, 0.09917355371900827, 0.19008264462809918, 0.28099173553719003]
17.0	0.0	LONG_WALK	[0.5537190082644627, 0.6446280991735537, 0.7355371900826446, 0.8264462809917356, 0.9173553719008265, 0.008264462809917356, 0.09917355371900827, 0.19008264462809918, 0.28099173553719003, 0.371900826446281]
18.0	0.0	LONG_WALK	[0.6446280991735537, 0.7355371900826446, 0.8264462809917356, 0.9173553719008265, 0.008264462809917356, 0.09917355371900827, 0.19008264462809918, 0.28099173553719003, 0.371900826446281, 0.4628099173553719]
19.0	0.0	LONG_WALK	[0.7355371900826446, 0.8264462809917356, 0.9173553719008265, 0.008264462809917356, 0.09917355371900827, 0.19008264462809918, 0.28099173553719003, 0.371900826446281, 0.4628099173553719, 0.5537190082644627]
20.0	0.0	LONG_WALK	[0.8264462809917356, 0.9173553719008265, 0.008264462809917356, 0.09917355371900827, 0.19008264462809918, 0.28099173553719003, 0.371900826446281, 0.4628099173553719, 0.5537190082644627, 0.6446280991735537]
