step	is_bug	state	point
1.0	0.0	LONG_WALK	[0.5, 0.3333333333333333, 0.2, 0.14285714285714285, 0.09090909090909091, 0.07692307692307693, 0.058823529411764705, 0.05263157894736842, 0.043478260869565216, 0.034482758620689655, 0.03225806451612903, 0.02702702702702703, 0.024390243902439025, 0.023255813953488372, 0.02127659574468085, 0.018867924528301886, 0.01694915254237288, 0.01639344262295082, 0.014925373134328358, 0.014084507042253521, 0.0136986301369863, 0.012658227848101266, 0.012048192771084338, 0.011235955056179775, 0.010309278350515464, 0.009900990099009901, 0.009708737864077669, 0.009345794392523364, 0.009174311926605505, 0.008849557522123894, 0.007874015748031496, 0.007633587786259542, 0.0072992700729927005, 0.007194244604316547, 0.006711409395973154, 0.006622516556291391, 0.006369426751592357, 0.006134969325153374, 0.005988023952095809, 0.005780346820809248, 0.00558659217877095, 0.0055248618784530384, 0.005235602094240838, 0.0051813471502590676, 0.005076142131979695, 0.005025125628140704, 0.004739336492890996, 0.004484304932735426, 0.004405286343612335, 0.004366812227074236]
2.0	0.0	LONG_WALK	[0.25, 0.6666666666666666, 0.4, 0.2857142857142857, 0.18181818181818182, 0.15384615384615385, 0.11764705882352941, 0.10526315789473684, 0.08695652173913043, 0.06896551724137931, 0.06451612903225806, 0.05405405405405406, 0.04878048780487805, 0.046511627906976744, 0.0425531914893617, 0.03773584905660377, 0.03389830508474576, 0.03278688524590164, 0.029850746268656716, 0.028169014084507043, 0.0273972602739726, 0.02531645569620253, 0.024096385542168676, 0.02247191011235955, 0.020618556701030927, 0.019801980198019802, 0.019417475728155338, 0.018691588785046728, 0.01834862385321101, 0.017699115044247787, 0.015748031496062992, 0.015267175572519083, 0.014598540145985401, 0.014388489208633094, 0.013422818791946308, 0.013245033112582781, 0.012738853503184714, 0.012269938650306749, 0.011976047904191617, 0.011560693641618497, 0.0111731843575419, 0.011049723756906077, 0.010471204188481676, 0.010362694300518135, 0.01015228426395939, 0.010050251256281407, 0.009478672985781991, 0.008968609865470852, 0.00881057268722467, 0.008733624454148471]
3.0	0.0	LONG_WALK	[0.75, 0.1111111111111111, 0.6000000000000001, 0.42857142857142855, 0.2727272727272727, 0.23076923076923078, 0.1764705882352941, 0.15789473684210525, 0.13043478260869565, 0.10344827586206896, 0.0967741935483871, 0.08108108108108109, 0.07317073170731708, 0.06976744186046512, 0.06382978723404255, 0.05660377358490566, 0.05084745762711865, 0.04918032786885246, 0.04477611940298507, 0.04225352112676056, 0.0410958904109589, 0.0379746835443038, 0.03614457831325302, 0.033707865168539325, 0.030927835051546393, 0.0297029702970297, 0.029126213592233007, 0.02803738317757009, 0.027522935779816515, 0.02654867256637168, 0.023622047244094488, 0.022900763358778626, 0.021897810218978103, 0.02158273381294964, 0.020134228187919462, 0.019867549668874173, 0.019108280254777073, 0.018404907975460124, 0.017964071856287428, 0.017341040462427744, 0.01675977653631285, 0.016574585635359115, 0.015706806282722516, 0.015544041450777202, 0.015228426395939085, 0.01507537688442211, 0.014218009478672987, 0.013452914798206279, 0.013215859030837006, 0.013100436681222707]
4.0	0.0	LONG_WALK	[0.125, 0.4444444444444444, 0.8, 0.5714285714285714, 0.36363636363636365, 0.3076923076923077, 0.23529411764705882, 0.21052631578947367, 0.17391304347826086, 0.13793103448275862, 0.12903225806451613, 0.10810810810810811, 0.0975609756097561, 0.09302325581395349, 0.0851063829787234, 0.07547169811320754, 0.06779661016949153, 0.06557377049180328, 0.05970149253731343, 0.056338028169014086, 0.0547945205479452, 0.05063291139240506, 0.04819277108433735, 0.0449438202247191, 0.041237113402061855, 0.039603960396039604, 0.038834951456310676, 0.037383177570093455, 0.03669724770642202, 0.035398230088495575, 0.031496062992125984, 0.030534351145038167, 0.029197080291970802, 0.02877697841726619, 0.026845637583892617, 0.026490066225165563, 0.025477707006369428, 0.024539877300613498, 0.023952095808383235, 0.023121387283236993, 0.0223463687150838, 0.022099447513812154, 0.020942408376963352, 0.02072538860103627, 0.02030456852791878, 0.020100502512562814, 0.018957345971563982, 0.017937219730941704, 0.01762114537444934, 0.017467248908296942]
5.0	0.0	LONG_WALK	[0.625, 0.7777777777777777, 0.04000000000000001, 0.7142857142857142, 0.4545454545454546, 0.38461538461538464, 0.29411764705882354, 0.2631578947368421, 0.21739130434782608, 0.1724137931034483, 0.16129032258064516, 0.13513513513513514, 0.12195121951219512, 0.11627906976744186, 0.10638297872340426, 0.09433962264150943, 0.0847457627118644, 0.0819672131147541, 0.07462686567164178, 0.07042253521126761, 0.0684931506849315, 0.06329113924050633, 0.060240963855421686, 0.056179775280898875, 0.05154639175257732, 0.04950495049504951, 0.04854368932038834, 0.04672897196261682, 0.045871559633027525, 0.04424778761061947, 0.03937007874015748, 0.03816793893129771, 0.0364963503649635, 0.03597122302158273, 0.03355704697986577, 0.033112582781456956, 0.03184713375796178, 0.03067484662576687, 0.029940119760479042, 0.028901734104046242, 0.02793296089385475, 0.027624309392265192, 0.02617801047120419, 0.02590673575129534, 0.025380710659898477, 0.02512562814070352, 0.023696682464454978, 0.02242152466367713, 0.022026431718061675, 0.021834061135371178]
6.0	0.0	LONG_WALK	[0.375, 0.2222222222222222, 0.24000000000000002, 0.8571428571428571, 0.5454545454545454, 0.46153846153846156, 0.3529411764705882, 0.3157894736842105, 0.2608695652173913, 0.20689655172413793, 0.1935483870967742, 0.16216216216216217, 0.14634146341463417, 0.13953488372093023, 0.1276595744680851, 0.11320754716981132, 0.1016949152542373, 0.09836065573770492, 0.08955223880597014, 0.08450704225352113, 0.0821917808219178, 0.0759493670886076, 0.07228915662650603, 0.06741573033707865, 0.061855670103092786, 0.0594059405940594, 0.058252427184466014, 0.05607476635514018, 0.05504587155963303, 0.05309734513274336, 0.047244094488188976, 0.04580152671755725, 0.043795620437956206, 0.04316546762589928, 0.040268456375838924, 0.039735099337748346, 0.038216560509554146, 0.03680981595092025, 0.035928143712574856, 0.03468208092485549, 0.0335195530726257, 0.03314917127071823, 0.03141361256544503, 0.031088082901554404, 0.03045685279187817, 0.03015075376884422, 0.028436018957345974, 0.026905829596412557, 0.026431718061674013, 0.026200873362445413]
7.0	0.0	LONG_WALK	[0.875, 0.5555555555555556, 0.44000000000000006, 0.02040816326530612, 0.6363636363636364, 0.5384615384615385, 0.4117647058823529, 0.3684210526315789, 0.30434782608695654, 0.24137931034482757, 0.22580645161290322, 0.1891891891891892, 0.17073170731707318, 0.16279069767441862, 0.14893617021276595, 0.1320754716981132, 0.11864406779661017, 0.11475409836065574, 0.1044776119402985, 0.09859154929577466, 0.0958904109589041, 0.08860759493670886, 0.08433734939759037, 0.07865168539325842, 0.07216494845360824, 0.06930693069306931, 0.06796116504854369, 0.06542056074766354, 0.06422018348623854, 0.061946902654867256, 0.05511811023622047, 0.05343511450381679, 0.051094890510948905, 0.05035971223021583, 0.04697986577181208, 0.046357615894039736, 0.0445859872611465, 0.04294478527607362, 0.04191616766467066, 0.04046242774566474, 0.03910614525139665, 0.03867403314917127, 0.03664921465968587, 0.036269430051813475, 0.035532994923857864, 0.035175879396984924, 0.03317535545023697, 0.03139013452914798, 0.030837004405286347, 0.03056768558951965]
8.0	0.0	LONG_WALK	[0.0625, 0.8888888888888888, 0.6400000000000001, 0.16326530612244897, 0.7272727272727273, 0.6153846153846154, 0.47058823529411764, 0.42105263157894735, 0.34782608695652173, 0.27586206896551724, 0.25806451612903225, 0.21621621621621623, 0.1951219512195122, 0.18604651162790697, 0.1702127659574468, 0.1509433962264151, 0.13559322033898305, 0.13114754098360656, 0.11940298507462686, 0.11267605633802817, 0.1095890410958904, 0.10126582278481013, 0.0963855421686747, 0.0898876404494382, 0.08247422680412371, 0.07920792079207921, 0.07766990291262135, 0.07476635514018691, 0.07339449541284404, 0.07079646017699115, 0.06299212598425197, 0.061068702290076333, 0.058394160583941604, 0.05755395683453238, 0.053691275167785234, 0.052980132450331126, 0.050955414012738856, 0.049079754601226995, 0.04790419161676647, 0.046242774566473986, 0.0446927374301676, 0.04419889502762431, 0.041884816753926704, 0.04145077720207254, 0.04060913705583756, 0.04020100502512563, 0.037914691943127965, 0.03587443946188341, 0.03524229074889868, 0.034934497816593885]
9.0	0.0	LONG_WALK	[0.5625, 0.037037037037037035, 0.8400000000000001, 0.30612244897959184, 0.8181818181818182, 0.6923076923076923, 0.5294117647058824, 0.47368421052631576, 0.3913043478260869, 0.3103448275862069, 0.29032258064516125, 0.24324324324324326, 0.21951219512195122, 0.20930232558139533, 0.19148936170212766, 0.16981132075471697, 0.15254237288135594, 0.14754098360655737, 0.13432835820895522, 0.1267605633802817, 0.1232876712328767, 0.11392405063291139, 0.10843373493975904, 0.10112359550561797, 0.09278350515463918, 0.0891089108910891, 0.08737864077669902, 0.08411214953271028, 0.08256880733944955, 0.07964601769911504, 0.07086614173228346, 0.06870229007633588, 0.06569343065693431, 0.06474820143884892, 0.060402684563758385, 0.059602649006622516, 0.05732484076433121, 0.05521472392638037, 0.05389221556886228, 0.05202312138728323, 0.05027932960893855, 0.049723756906077346, 0.04712041884816754, 0.046632124352331605, 0.04568527918781726, 0.04522613065326633, 0.04265402843601896, 0.04035874439461883, 0.039647577092511016, 0.03930131004366812]
10.0	0.0	LONG_WALK	[0.3125, 0.37037037037037035, 0.08000000000000002, 0.4489795918367347, 0.9090909090909092, 0.7692307692307693, 0.5882352941176471, 0.5263157894736842, 0.43478260869565216, 0.3448275862068966, 0.3225806451612903, 0.2702702702702703, 0.24390243902439024, 0.23255813953488372, 0.2127659574468085, 0.18867924528301885, 0.1694915254237288, 0.1639344262295082, 0.14925373134328357, 0.14084507042253522, 0.136986301369863, 0.12658227848101267, 0.12048192771084337, 0.11235955056179775, 0.10309278350515463, 0.09900990099009901, 0.09708737864077668, 0.09345794392523364, 0.09174311926605505, 0.08849557522123894, 0.07874015748031496, 0.07633587786259542, 0.072992700729927, 0.07194244604316546, 0.06711409395973154, 0.06622516556291391, 0.06369426751592357, 0.06134969325153374, 0.059880239520958084, 0.057803468208092484, 0.0558659217877095, 0.055248618784530384, 0.05235602094240838, 0.05181347150259068, 0.050761421319796954, 0.05025125628140704, 0.047393364928909956, 0.04484304932735426, 0.04405286343612335, 0.043668122270742356]
