step	is_bug	state	point
1.0	0.0	LONG_WALK	[0.3883834671376405, 0.7944376077261135, 0.4517326736116454, 0.3605756601130331, 0.2566015596996697, 0.9123988205246322, 0.17352855946398216, 0.005247674550875159, 0.38495893131810444, 0.09066196289364548]
2.0	0.0	LONG_WALK	[0.3891161280979387, 0.277235365875096, 0.3189853443324372, 0.4461275135548939, 0.09441904833971548, 0.011509341986630117, 0.33278290950854494, 0.156006241061324, 0.7908182858499718, 0.8091646527468129]
3.0	0.0	LONG_WALK	[0.8874141844592104, 0.11262432992450855, 0.8262574967749912, 0.5702756674901096, 0.8037765625869191, 0.469632366533827, 0.26216311827831784, 0.07203798695707209, 0.15874939174651315, 0.6381438820392288]
4.0	0.0	LONG_WALK	[0.756125774908026, 0.664170572771734, 0.4061707987314791, 0.1371856997047911, 0.016566886103126288, 0.9493585470483743, 0.7023307278595549, 0.2562596034069674, 0.9733120948572744, 0.116572658210233]
5.0	0.0	LONG_WALK	[0.5322186073701282, 0.7674698645766138, 0.7990022846674597, 0.3373525661007466, 0.8056202327541909, 0.4288871090534039, 0.5218716619933879, 0.37920220037683383, 0.7857046148138227, 0.5482053418003774]
6.0	0.0	LONG_WALK	[0.6937105054079389, 0.9425053397430574, 0.5796901642917748, 0.330682574271957, 0.43265090113490556, 0.2922243919672425, 0.6988747200893796, 0.7628770647919142, 0.15826076650646503, 0.5918861216211555]
7.0	0.0	LONG_WALK	[0.4729721236501768, 0.31570398697570745, 0.41660450715812947, 0.9608149692885101, 0.9154939378554441, 0.9382799449926134, 0.5360402021375148, 0.2857103823260242, 0.08569166483023805, 0.9471594775528064]
8.0	0.0	LONG_WALK	[0.6280473598899009, 0.4851384950379767, 0.5206264458198819, 0.6986934566348258, 0.5650833513330396, 0.6512311430452237, 0.9676227457220663, 0.45335226279113916, 0.7117124484791956, 0.019228606842732754]
9.0	0.0	LONG_WALK	[0.7464429783984744, 0.7197665359753548, 0.6227928006358828, 0.11337652893586225, 0.6674553622777261, 0.6120353391379988, 0.5089942300852689, 0.438002647381027, 0.4885642711081767, 0.9753901576329816]
10.0	0.0	LONG_WALK	[0.7484448474779379, 0.7236818272985026, 0.31020148748671406, 0.35862249703937155, 0.7460723171234791, 0.2573540037193217, 0.41922058736731316, 0.4676555554175653, 0.27075403166857503, 0.7785616771361011]
11.0	0.0	LONG_WALK	[0.5430039070202394, 0.759243693003395, 0.9757092094233313, 0.4829676329384762, 0.9098175544407395, 0.17479826406523402, 0.47253145304928224, 0.3270934083976941, 0.3110594112128878, 0.14460707598497535]
12.0	0.0	LONG_WALK	[0.9972985424133227, 0.06739308042044811, 0.5253727344065651, 0.8853053124105992, 0.5815877908223208, 0.7928202262868571, 0.11602487582483578, 0.46244018027850076, 0.7495377272556975, 0.8615498814439753]
13.0	0.0	LONG_WALK	[0.24773355864313829, 0.26625084377431707, 0.49928509294831513, 0.8992517085113543, 0.12026996855542715, 0.7911875446075837, 0.4423940670650782, 0.4236300777947297, 0.9569179472573304, 0.007927739608527662]
14.0	0.0	LONG_WALK	[0.3735512352903698, 0.6305124672549514, 0.5827301227711055, 0.09121780905830768, 0.7504269520985595, 0.733495751906355, 0.06843448162463861, 0.6063088860474921, 0.4630998361849169, 0.6196398686190139]
15.0	0.0	LONG_WALK	[0.140119285267855, 0.5590878517442928, 0.8144706127868411, 0.7332410066623197, 0.922855309355238, 0.45099395995796665, 0.8005966094736118, 0.06985568327553038, 0.5640398795783188, 0.4659051464272872]
16.0	0.0	LONG_WALK	[0.5439757254065374, 0.8269422706043573, 0.5233084415507707, 0.704479170236531, 0.9377846673550564, 0.9413594666154486, 0.498418431538013, 0.04239948977344876, 0.7386110118397341, 0.11704638991254812]
17.0	0.0	LONG_WALK	[0.8222592058330842, 0.5356647013114907, 0.4604049273777099, 0.9650242820248073, 0.5093807940457037, 0.24222770848633202, 0.08633123772648799, 0.7591075303817029, 0.14320054533008886, 0.8063206555755332]
18.0	0.0	LONG_WALK	[0.9151851193975505, 0.7700429910555804, 0.49994115443504006, 0.4692381806436796, 0.7382262334747598, 0.40284691760513724, 0.5670047109695961, 0.7647437928387153, 0.9836586931918126, 0.7757856957403921]
19.0	0.0	LONG_WALK	[0.5703113291662, 0.6740580402119789, 0.9317726310305664, 0.6097826630630543, 0.21723291501182107, 0.22499544510474268, 0.2192945001315183, 0.6075813200332285, 0.3147172252889383, 0.03698114300384958]
20.0	0.0	LONG_WALK	[0.06107231066668384, 0.6050137113721785, 0.09876675169240934, 0.3689408512064334, 0.8405713329583159, 0.7624678087980448, 0.7460697733048622, 0.8244149814241183, 0.7923002918747012, 0.8491228596883871]
