step	is_bug	state	point
1.0	0.0	LONG_WALK	[0.8357632919260201, 0.5426884636278345, 0.8152453050866362, 0.33464898177492075, 0.18083650518443295, 0.5710513607294175, 0.1132111862085513, 0.6985145932782343, 0.22543544942766336, 0.2621143134017485, 0.8893380037872219, 0.843340793104732, 0.9612825767565297, 0.8641180997763648, 0.4407669676512802, 0.12146544206339804, 0.46175702625350235, 0.718668350701176, 0.9162842295688282, 0.7552595610739536, 0.2664170021948543, 0.9189187453717985, 0.3321454515971486, 0.18462633083768143, 0.35667086691412897, 0.8220826434687187, 0.6370783936281782, 0.49212679073248555, 0.7004188585063983, 0.6986360326801433, 0.8632862862377778, 0.3055333949067712, 0.8540475292299524, 0.5717416839351631, 0.3277846280241955, 0.4859629013193538, 0.09335290902433846, 0.9170576796871719, 0.8022107572490847, 0.3090648427177346, 0.27626426446666397, 0.020604652469038753, 0.8921610186210066, 0.35275768461065793, 0.5885068616770825, 0.11242528448158517, 0.9885619956504977, 0.8000066559531126, 0.5829229110949785, 0.3194784206592832]
2.0	0.0	LONG_WALK	[0.710013460081794, 0.7201966417224696, 0.8311511676429575, 0.8627211607670141, 0.8270864016932662, 0.7557148874502108, 0.22390153912362776, 0.9641553736740527, 0.8462674857646442, 0.16176834426296194, 0.08708367344856716, 0.6969667581308416, 0.4488861361249554, 0.9671706306999545, 0.6582947573051904, 0.3156761287681227, 0.5286745310924822, 0.12047917749375803, 0.1330493288480844, 0.8053467695106372, 0.663847917694034, 0.07417836697292779, 0.12517744290799948, 0.4712195098808195, 0.9420703295558398, 0.9262078332814153, 0.7987670366047742, 0.6006137209898506, 0.48161933060523565, 0.6640646019949268, 0.7750711966535069, 0.6852869993737323, 0.31620915646484726, 0.8642816961646305, 0.6472050035772808, 0.23968452982463095, 0.14196105097386602, 0.9977882165506031, 0.30536581319184986, 0.7416119854339721, 0.6419926565000011, 0.5138035968934663, 0.6773548467696201, 0.8426942660800921, 0.8502428163066964, 0.3213557059376786, 0.9155115487190765, 0.5143700547874152, 0.20945340522664202, 0.4120517197820084]
3.0	0.0	LONG_WALK	[0.2309199260853282, 0.823150415213786, 0.46595053390378793, 0.345208297079312, 0.0714273666036207, 0.6937634034051858, 0.28037955929105995, 0.09217319975861349, 0.5276805862747335, 0.8371521866172029, 0.793892273048412, 0.7250059415884974, 0.7668058414082619, 0.42088107977727973, 0.39470472704684256, 0.677190947669445, 0.4948751176041667, 0.3132770877550378, 0.1380108983056373, 0.33385723206769, 0.24554037214616065, 0.07529831755908178, 0.9271014092785091, 0.9885691714780496, 0.2795379580659406, 0.5724964645528692, 0.45953741438977547, 0.041995430708373416, 0.48446001184097576, 0.4149892893452578, 0.17995035539934556, 0.9710141962563744, 0.8749259812704515, 0.033205392761849306, 0.7755538913604756, 0.6175833081117265, 0.49920839962929986, 0.9590351190657573, 0.6572305235320505, 0.42241788356742327, 0.9757133006356716, 0.7134181835787119, 0.6722172974237874, 0.03050951141773106, 0.9360435470134087, 0.2823903511415691, 0.0575420254701241, 0.39445624342135954, 0.032156241747322345, 0.4773999177216499]
4.0	0.0	LONG_WALK	[0.844642894292352, 0.380520008164402, 0.08940873543975003, 0.3202180238028671, 0.7233557082837782, 0.9149564515257471, 0.8883847669570858, 0.7954930251430653, 0.4986569802940042, 0.16779084003167966, 0.9173049464817, 0.08147194322469486, 0.5269994618300237, 0.444176052175141, 0.46212132374067794, 0.05218766401850661, 0.25541170372405697, 0.21253357285191676, 0.00416519141963001, 0.08833749069116426, 0.4203269772685375, 0.07818486321012363, 0.3281864429512711, 0.5342328239294526, 0.10141746666790286, 0.9452499568208977, 0.6678361124251402, 0.9705445704746831, 0.27676733346104376, 0.9159080563881278, 0.7281159907430461, 0.7878554329757971, 0.2847931870138861, 0.3455641216713812, 0.8988915227143216, 0.11488291870761635, 0.43409364372516535, 0.7586547996262251, 0.6170725226420194, 0.7920384507997104, 0.285702940384974, 0.7176091029937056, 0.15782710839810798, 0.22253668544445204, 0.8977489411146929, 0.526101054755832, 0.19588784598973996, 0.9850492580527931, 0.2288801192515929, 0.9685177558627649]
5.0	0.0	LONG_WALK	[0.7050779236506716, 0.2548679363121976, 0.07713917047329366, 0.24061838413517744, 0.1363298368874194, 0.6630940340572686, 0.06081729688699611, 0.5942541941486379, 0.3911603784074983, 0.22224199427718583, 0.48668937803241386, 0.9419648536078646, 0.23193776578503944, 0.6148256881808034, 0.3345981248966806, 0.3827575344662345, 0.5372600980896116, 0.025408837095220127, 0.4264330258926543, 0.20732007141930264, 0.049701631041020655, 0.7672067974024467, 0.8444071483788411, 0.8151908607764002, 0.8956702161566883, 0.1913613229102945, 0.5659804858927759, 0.9234268178685685, 0.7746305949581676, 0.9160626784679223, 0.7368542402069677, 0.16117090827655334, 0.7782417199005961, 0.21040785809872709, 0.40814985286342964, 0.8709092519429386, 0.05488041625038664, 0.7518320377319622, 0.6458245162092046, 0.6487772684953226, 0.07949747868568846, 0.3943545376120834, 0.4540165632321118, 0.5290510995287828, 0.4468698856100396, 0.2261497475575227, 0.4591571163475121, 0.2939164282148604, 0.9174265480570192, 0.9755032848693708]
6.0	0.0	LONG_WALK	[0.911896682038044, 0.963609511327107, 0.14933573691815072, 0.6485594835823394, 0.006438561166547396, 0.33234012445045846, 0.7330749858064805, 0.8016882743882897, 0.7082152022796556, 0.9344050620345211, 0.1535193516386255, 0.2985939584430358, 0.751142086827682, 0.6551920204332694, 0.8825598909576087, 0.5835466806541458, 0.8084621826994149, 0.3458143271550469, 0.9513587490082595, 0.8484604434477716, 0.8196295096977588, 0.7975143038538389, 0.7335112880960403, 0.9721561328903547, 0.2760528909097999, 0.7063156648624265, 0.326984166803307, 0.532134718029843, 0.8040116683530941, 0.622232275061159, 0.7380310482230272, 0.6929789256039917, 0.2867502813595888, 0.8803038034407225, 0.4622537896221699, 0.5933294838628614, 0.32272530651232023, 0.45431776326815565, 0.4627568651835616, 0.5654211207548578, 0.7272407472987633, 0.2531948437993512, 0.16466385645664006, 0.20467310604726696, 0.5529601197347337, 0.3837569199004597, 0.14762955099523556, 0.45219049343466033, 0.7602707202693166, 0.44805397410911196]
7.0	0.0	LONG_WALK	[0.23191678276677852, 0.6774529859381268, 0.2687442878042092, 0.8256886846085455, 0.2988984465919353, 0.9249516888013678, 0.5033824205535296, 0.2877533494526794, 0.2410374020462418, 0.1840923755632119, 0.5736544131828162, 0.32937290921435236, 0.9927254060152638, 0.6341613374864727, 0.9307257957000769, 0.8150633586543692, 0.6049272749785611, 0.8414831707606687, 0.9450354383699765, 0.6708659377056707, 0.6713320049942569, 0.053480729824897044, 0.4547257639956329, 0.4152313885303863, 0.9516856600769551, 0.11625789682083387, 0.7198516263068924, 0.377759309453924, 0.5563436610115774, 0.3137908646245068, 0.28206666847669326, 0.32061154931313207, 0.03948201384412198, 0.9988076059693712, 0.7743110242501542, 0.5271020705063966, 0.7012231577884498, 0.26261168444011573, 0.4752652710529628, 0.8960392012901681, 0.4359304728753558, 0.5197797298917056, 0.6029826003538676, 0.1333340245945006, 0.7132620259448976, 0.5994200772616454, 0.0030178936733329387, 0.7159851628297986, 0.637993530766586, 0.354933809809454]
8.0	0.0	LONG_WALK	[0.5902731864216891, 0.3077107874120719, 0.7062279942990907, 0.3770323670128164, 0.195718376682394, 0.20786507454500547, 0.08317108117275551, 0.40810510284580415, 0.03542049485302001, 0.2245877779932608, 0.5736996187659521, 0.09473587367891123, 0.8571560473667367, 0.5191554164840084, 0.006892510613115466, 0.3577115135604335, 0.3355881397475049, 0.21058353751855574, 0.3271204753552702, 0.5811453669687713, 0.43309169284857496, 0.5321523962889958, 0.6561414368272317, 0.8542934368596599, 0.7506754270482195, 0.7610884156186697, 0.1450880521556892, 0.9253906258623729, 0.4031584350450792, 0.054529595281448406, 0.5837674781240265, 0.7527008740797188, 0.04905140616724191, 0.33288634328428635, 0.08203348642480612, 0.02528359498431143, 0.35701413130645354, 0.7276479982154348, 0.1811020021435884, 0.7599418587643774, 0.10231093611352038, 0.8038665848126468, 0.4392130426564971, 0.8772508712074282, 0.22924377767988913, 0.9406518634422697, 0.6584780758001518, 0.5556899640520966, 0.12466423755284717, 0.00891954557877317]
9.0	0.0	LONG_WALK	[0.6630561409809068, 0.43946695695079596, 0.738563732778328, 0.49135309654066195, 0.029522478592387658, 0.45908442015447914, 0.5255927105602841, 0.759591616994362, 0.4481620242983747, 0.4568833446802921, 0.19994361716237075, 0.7469551793759011, 0.5337838803002004, 0.290210575156859, 0.43195123100150346, 0.0013174748562706506, 0.3751434785722676, 0.5650550840263966, 0.6706779887014387, 0.7768180339770292, 0.3588882000346084, 0.691969537747362, 0.9378659760799254, 0.9397569767750465, 0.2601599306490746, 0.6550242752343135, 0.8535121307883352, 0.6497769112550481, 0.45005131927222164, 0.5443479559767218, 0.8298263964860493, 0.8842030542072035, 0.5611014645871176, 0.49625980283465787, 0.6874685002374241, 0.3120330453385185, 0.927141525347556, 0.9002971657819431, 0.5012571764481408, 0.20066118298500069, 0.06122711911344825, 0.8539020317816679, 0.38936445017888155, 0.8119097461442958, 0.1773576896771849, 0.1207977142205402, 0.8615797776522761, 0.47439613973731243, 0.9926587967047958, 0.849871146294701]
10.0	0.0	LONG_WALK	[0.25374880685889545, 0.2556087532843757, 0.6611539563248297, 0.8614805670991524, 0.8877556071001123, 0.5110941881771389, 0.876083043630047, 0.9964913509903259, 0.3394250397946169, 0.9549087778515689, 0.5624599322545654, 0.6935453492309221, 0.6976794297610455, 0.39848434607115435, 0.891510637022842, 0.07757868323340678, 0.4579831302255156, 0.0799724670459494, 0.5793824276918468, 0.05173909517674913, 0.7304415476317201, 0.18950124244542021, 0.15992903801922953, 0.8384816113961437, 0.9787792704964756, 0.5090013624660994, 0.518438829019676, 0.8308936555215993, 0.4448234711987119, 0.09222457773322001, 0.8131207397467093, 0.8273725886675186, 0.12206314080484537, 0.18942558583451308, 0.7562103002202203, 0.838938642226136, 0.47583799268248006, 0.1456761594478274, 0.37809049617410695, 0.037084089429472944, 0.5761175647862435, 0.23318465788965614, 0.1883080949321434, 0.7755743847212676, 0.5086236715217276, 0.0077636579881816825, 0.23230293619511178, 0.4635029628332238, 0.06109715156504636, 0.0828460500297753]
