step	is_bug	state	point
1.0	0.0	LONG_WALK	[0.5, 0.5]
2.0	0.0	LONG_WALK	[0.75, 0.25]
3.0	0.0	LONG_WALK	[0.25, 0.75]
4.0	0.0	LONG_WALK	[0.375, 0.375]
5.0	0.0	LONG_WALK	[0.875, 0.875]
6.0	0.0	LONG_WALK	[0.625, 0.125]
7.0	0.0	LONG_WALK	[0.125, 0.625]
8.0	0.0	LONG_WALK	[0.1875, 0.3125]
9.0	0.0	LONG_WALK	[0.6875, 0.8125]
10.0	0.0	LONG_WALK	[0.9375, 0.0625]
11.0	0.0	LONG_WALK	[0.4375, 0.5625]
12.0	0.0	LONG_WALK	[0.3125, 0.1875]
13.0	0.0	LONG_WALK	[0.8125, 0.6875]
14.0	0.0	LONG_WALK	[0.5625, 0.4375]
15.0	0.0	LONG_WALK	[0.0625, 0.9375]
16.0	0.0	LONG_WALK	[0.09375, 0.46875]
17.0	0.0	LONG_WALK	[0.59375, 0.96875]
18.0	0.0	LONG_WALK	[0.84375, 0.21875]
19.0	0.0	LONG_WALK	[0.34375, 0.71875]
20.0	0.0	LONG_WALK	[0.46875, 0.09375]
