step	is_bug	state	point
1.0	1.0	LONG_WALK	[0.741485046753664, 0.4639502799408307, 0.9299856412558175, 0.3285863386356126]
2.0	1.0	LOCAL_SEARCH	[0.7346901405621284, 0.461557879243046, 0.9253436816560442, 0.3337397724251885]
3.0	1.0	LOCAL_SEARCH	[0.7261066074484824, 0.4657411681945415, 0.9246751462349337, 0.33084562086973074]
4.0	1.0	LOCAL_SEARCH	[0.7227386996020978, 0.4666063903325324, 0.9153094361154323, 0.3304073728262006]
5.0	1.0	LOCAL_SEARCH	[0.719837757251704, 0.47226806062692345, 0.9091381575264428, 0.33503828456519763]
6.0	1.0	LOCAL_SEARCH	[0.7157179962153937, 0.45960998776738193, 0.9149445025576581, 0.3291318734727365]
7.0	1.0	LONG_WALK	[0.9440803138514264, 0.09655687114631384, 0.8940934867023482, 0.8097865934714257]
8.0	1.0	LOCAL_SEARCH	[0.9386920266851918, 0.1026387179997342, 0.8882949382937531, 0.809191331664394]
9.0	1.0	LOCAL_SEARCH	[0.9331293318286534, 0.10466279357509482, 0.880258965138976, 0.808572720757626]
10.0	1.0	LOCAL_SEARCH	[0.9295902492855819, 0.11170806261089826, 0.8741077805478022, 0.8085279201796938]
11.0	1.0	LOCAL_SEARCH	[0.9228031996442873, 0.11329105786669927, 0.869044889180154, 0.8034488243757039]
12.0	1.0	LOCAL_SEARCH	[0.9155923991313172, 0.12018244406687442, 0.8691538787770563, 0.8027408176879152]
13.0	1.0	LONG_WALK	[0.6655786004101782, 0.7395047217073464, 0.5070591538478311, 0.7344703971444695]
14.0	1.0	LOCAL_SEARCH	[0.6654261399258304, 0.7310630195635617, 0.5123160046959883, 0.7355095987017055]
15.0	1.0	LOCAL_SEARCH	[0.6598976469034493, 0.7267802295716128, 0.5183762566459634, 0.7392999576674458]
16.0	1.0	LOCAL_SEARCH	[0.6579359526601296, 0.7403257747581409, 0.5044425696788726, 0.728633506316022]
17.0	1.0	LOCAL_SEARCH	[0.656447909478119, 0.720993619648735, 0.5257114581854258, 0.74019955517311]
18.0	1.0	LOCAL_SEARCH	[0.6557103348842057, 0.7118559675689324, 0.5296354659430484, 0.7409488623898182]
19.0	1.0	LONG_WALK	[0.6391374292580084, 0.7209856736714529, 0.5526075346375401, 0.5822241979771434]
20.0	1.0	LOCAL_SEARCH	[0.6393140720491057, 0.7125128171888695, 0.5509584837440893, 0.5771783946218088]
21.0	1.0	LOCAL_SEARCH	[0.6360957940074398, 0.7126828232127186, 0.544257519642674, 0.5704917763053554]
22.0	1.0	LOCAL_SEARCH	[0.634288755357285, 0.7032795552221197, 0.5415105825708627, 0.5696157060243077]
23.0	1.0	LOCAL_SEARCH	[0.6430136482553113, 0.705062759978377, 0.5552568239119473, 0.5806903819874245]
24.0	1.0	LOCAL_SEARCH	[0.6275443987797027, 0.6988511256019315, 0.5364977577019435, 0.5727420860854977]
