iter	Passed	Remaining
0	49	245395
1	50	126299
2	51	86299
3	53	66420
4	54	54412
5	55	46233
6	56	40351
7	57	35872
8	58	32252
9	58	29357
10	59	27003
11	60	25055
12	61	23413
13	61	21982
14	62	20742
15	63	19669
16	63	18707
17	64	17850
18	66	17559
19	67	16871
20	68	16226
21	69	15646
22	69	15106
23	70	14613
24	71	14161
25	71	13740
26	72	13352
27	73	12989
28	73	12665
29	74	12363
30	78	12590
31	79	12300
32	79	12024
33	80	11767
34	81	11524
35	81	11293
36	82	11077
37	83	10869
38	83	10673
39	84	10487
40	85	10310
41	86	10247
42	87	10085
43	88	9929
44	88	9779
45	89	9635
46	90	9501
47	90	9371
48	91	9248
49	92	9126
50	92	9011
51	93	8901
52	94	8793
53	94	8694
54	95	8601
55	96	8510
56	97	8421
57	97	8333
58	98	8247
59	99	8163
60	99	8082
61	100	8005
62	100	7906
63	101	7846
64	102	7780
65	103	7711
66	103	7645
67	104	7579
68	105	7519
69	105	7457
70	106	7396
71	107	7338
72	107	7280
73	108	7226
74	109	7171
75	110	7131
76	110	7081
77	111	7032
78	112	6983
79	112	6937
80	113	6893
81	114	6847
82	114	6803
83	115	6760
84	116	6717
85	116	6676
86	117	6636
87	118	6597
88	118	6559
89	119	6520
90	120	6483
91	120	6447
92	121	6413
93	122	6379
94	122	6346
95	123	6314
96	124	6282
97	124	6250
98	125	6218
99	126	6184
100	126	6154
101	127	6124
102	128	6095
103	128	6068
104	129	6040
105	130	6019
106	131	5992
107	131	5967
108	132	5944
109	133	5920
110	133	5895
111	134	5870
112	135	5845
113	135	5822
114	136	5799
115	137	5775
116	137	5753
117	138	5730
118	139	5712
119	139	5690
120	140	5670
121	141	5651
122	142	5630
123	142	5610
124	143	5592
125	144	5572
126	144	5553
127	145	5534
128	146	5516
129	146	5499
130	147	5481
131	148	5463
132	148	5445
133	149	5430
134	150	5413
135	150	5397
136	151	5380
137	152	5363
138	152	5347
139	153	5331
140	154	5319
141	155	5304
142	155	5289
143	156	5273
144	157	5259
145	157	5249
146	158	5234
147	159	5222
148	159	5208
149	160	5193
150	161	5179
151	162	5172
152	162	5158
153	163	5145
154	164	5132
155	165	5124
156	165	5111
157	166	5098
158	167	5085
159	167	5072
160	168	5060
161	169	5047
162	169	5035
163	170	5022
164	171	5013
165	171	5003
166	172	4991
167	173	4979
168	173	4968
169	174	4957
170	175	4946
171	175	4934
172	176	4923
173	177	4914
174	177	4904
175	178	4893
176	179	4883
177	179	4872
178	180	4862
179	181	4858
180	182	4848
181	182	4839
182	183	4829
183	184	4819
184	184	4809
185	185	4799
186	186	4790
187	186	4781
188	187	4772
189	188	4762
190	188	4754
191	189	4745
192	190	4736
193	190	4727
194	191	4724
195	192	4716
196	192	4703
197	193	4694
198	194	4685
199	194	4677
200	195	4669
201	196	4660
202	197	4658
203	197	4650
204	198	4642
205	199	4634
206	199	4629
207	200	4621
208	201	4613
209	201	4606
210	202	4598
211	203	4590
212	203	4583
213	204	4575
214	205	4567
215	205	4560
216	206	4553
217	207	4545
218	207	4538
219	208	4531
220	209	4525
221	210	4521
222	210	4515
223	211	4508
224	212	4501
225	212	4497
226	213	4490
227	214	4483
228	214	4477
229	215	4471
230	216	4464
231	216	4458
232	217	4451
233	218	4447
234	219	4448
235	220	4442
236	220	4435
237	221	4431
238	222	4425
239	222	4419
240	223	4413
241	224	4407
242	224	4403
243	225	4397
244	226	4391
245	226	4386
246	227	4380
247	228	4378
248	229	4372
249	229	4367
250	230	4362
251	231	4361
252	232	4355
253	232	4350
254	233	4344
255	234	4339
256	234	4334
257	235	4329
258	236	4324
259	236	4319
260	237	4313
261	238	4310
262	239	4305
263	239	4299
264	240	4294
265	241	4291
266	241	4286
267	242	4281
268	243	4276
269	243	4274
270	244	4270
271	245	4265
272	246	4260
273	246	4255
274	247	4250
275	248	4245
276	248	4241
277	249	4236
278	250	4232
279	250	4227
280	251	4225
281	252	4220
282	252	4215
283	253	4210
284	254	4206
285	254	4201
286	255	4197
287	256	4192
288	257	4193
289	257	4189
290	258	4185
291	259	4180
292	260	4176
293	260	4172
294	261	4168
295	262	4164
296	262	4160
297	263	4155
298	264	4150
